kernel,max_gap,min_support_pos,min_support_neg,accuracy,precision,recall,f1,auc
poly,7.0,0.15,0.1,0.8,0.7471526195899773,0.9085872576177285,0.8200000000000002,0.7996975285303127
poly,8.0,0.15,0.1,0.8,0.7471526195899773,0.9085872576177285,0.8200000000000002,0.7996975285303127
poly,4.0,0.15,0.1,0.8,0.7482837528604119,0.9058171745152355,0.819548872180451,0.7997052446392332
poly,7.0,0.3,0.15,0.7986111111111112,0.744343891402715,0.9113573407202216,0.8194271481942715,0.7982970547612249
poly,8.0,0.3,0.15,0.7986111111111112,0.744343891402715,0.9113573407202216,0.8194271481942715,0.7982970547612249
poly,6.0,0.3,0.15,0.7986111111111112,0.744343891402715,0.9113573407202216,0.8194271481942715,0.7982970547612249
poly,4.0,0.15,0.15,0.8013888888888889,0.7534883720930232,0.8975069252077562,0.8192161820480404,0.8011211506261622
poly,8.0,0.2,0.15,0.8,0.7494252873563219,0.9030470914127424,0.8190954773869347,0.7997129607481539
poly,7.0,0.2,0.15,0.8,0.7494252873563219,0.9030470914127424,0.8190954773869347,0.7997129607481539
poly,6.0,0.2,0.25,0.8,0.7494252873563219,0.9030470914127424,0.8190954773869347,0.7997129607481539
poly,6.0,0.2,0.3,0.8,0.7494252873563219,0.9030470914127424,0.8190954773869347,0.7997129607481539
poly,7.0,0.2,0.3,0.8,0.7494252873563219,0.9030470914127424,0.8190954773869347,0.7997129607481539
poly,7.0,0.2,0.25,0.8,0.7494252873563219,0.9030470914127424,0.8190954773869347,0.7997129607481539
poly,8.0,0.2,0.3,0.8,0.7494252873563219,0.9030470914127424,0.8190954773869347,0.7997129607481539
poly,6.0,0.2,0.15,0.8,0.7494252873563219,0.9030470914127424,0.8190954773869347,0.7997129607481539
poly,8.0,0.2,0.25,0.8,0.7494252873563219,0.9030470914127424,0.8190954773869347,0.7997129607481539
poly,8.0,0.3,0.3,0.7986111111111112,0.7454545454545455,0.9085872576177285,0.818976279650437,0.7983047708701456
poly,6.0,0.3,0.25,0.7986111111111112,0.7454545454545455,0.9085872576177285,0.818976279650437,0.7983047708701456
poly,6.0,0.3,0.3,0.7986111111111112,0.7454545454545455,0.9085872576177285,0.818976279650437,0.7983047708701456
poly,8.0,0.3,0.25,0.7986111111111112,0.7454545454545455,0.9085872576177285,0.818976279650437,0.7983047708701456
poly,7.0,0.3,0.25,0.7986111111111112,0.7454545454545455,0.9085872576177285,0.818976279650437,0.7983047708701456
poly,7.0,0.3,0.3,0.7986111111111112,0.7454545454545455,0.9085872576177285,0.818976279650437,0.7983047708701456
poly,9.0,0.3,0.2,0.7972222222222223,0.7415730337078652,0.9141274238227147,0.8188585607940446,0.7968965809921373
poly,10.0,0.3,0.2,0.7972222222222223,0.7415730337078652,0.9141274238227147,0.8188585607940446,0.7968965809921373
poly,4.0,0.15,0.3,0.8013888888888889,0.7546728971962616,0.8947368421052632,0.8187579214195184,0.8011288667350829
poly,4.0,0.15,0.2,0.8013888888888889,0.7546728971962616,0.8947368421052632,0.8187579214195184,0.8011288667350829
poly,4.0,0.15,0.25,0.8013888888888889,0.7546728971962616,0.8947368421052632,0.8187579214195184,0.8011288667350829
poly,4.0,0.25,0.25,0.8,0.7505773672055427,0.9002770083102493,0.8186397984886649,0.7997206768570746
