max_gap,min_support_pos,min_support_neg,accuracy,precision,recall,f1,auc
7.0,0.2,0.3,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
6.0,0.2,0.25,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
8.0,0.2,0.3,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
6.0,0.3,0.3,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
6.0,0.3,0.25,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
6.0,0.2,0.3,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
8.0,0.3,0.25,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
7.0,0.3,0.3,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
5.0,0.15,0.15,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
8.0,0.2,0.25,0.7847222222222222,0.7710526315789473,0.8116343490304709,0.7908232118758435,0.7846472580806951
10.0,0.2,0.3,0.7833333333333333,0.7676240208877284,0.814404432132964,0.7903225806451614,0.7832467843116073
9.0,0.2,0.25,0.7833333333333333,0.7676240208877284,0.814404432132964,0.7903225806451614,0.7832467843116073
9.0,0.2,0.3,0.7833333333333333,0.7676240208877284,0.814404432132964,0.7903225806451614,0.7832467843116073
9.0,0.3,0.2,0.7833333333333333,0.7676240208877284,0.814404432132964,0.7903225806451614,0.7832467843116073
10.0,0.3,0.2,0.7833333333333333,0.7676240208877284,0.814404432132964,0.7903225806451614,0.7832467843116073
10.0,0.2,0.25,0.7833333333333333,0.7676240208877284,0.814404432132964,0.7903225806451614,0.7832467843116073
4.0,0.2,0.3,0.7833333333333333,0.7690288713910761,0.8116343490304709,0.7897574123989217,0.7832545004205279
4.0,0.3,0.15,0.7833333333333333,0.7690288713910761,0.8116343490304709,0.7897574123989217,0.7832545004205279
5.0,0.3,0.2,0.7833333333333333,0.7690288713910761,0.8116343490304709,0.7897574123989217,0.7832545004205279
4.0,0.2,0.25,0.7833333333333333,0.7690288713910761,0.8116343490304709,0.7897574123989217,0.7832545004205279
5.0,0.2,0.15,0.7833333333333333,0.7704485488126649,0.8088642659279779,0.7891891891891892,0.7832622165294485
7.0,0.15,0.15,0.7819444444444444,0.7670157068062827,0.8116343490304709,0.7886944818304173,0.7818617427603608
8.0,0.15,0.15,0.7819444444444444,0.7670157068062827,0.8116343490304709,0.7886944818304173,0.7818617427603608
9.0,0.3,0.15,0.7819444444444444,0.7670157068062827,0.8116343490304709,0.7886944818304173,0.7818617427603608
10.0,0.15,0.15,0.7819444444444444,0.7670157068062827,0.8116343490304709,0.7886944818304173,0.7818617427603608
6.0,0.15,0.15,0.7819444444444444,0.7670157068062827,0.8116343490304709,0.7886944818304173,0.7818617427603608
10.0,0.3,0.15,0.7819444444444444,0.7670157068062827,0.8116343490304709,0.7886944818304173,0.7818617427603608
9.0,0.15,0.15,0.7819444444444444,0.7670157068062827,0.8116343490304709,0.7886944818304173,0.7818617427603608
4.0,0.25,0.3,0.7819444444444444,0.7684210526315789,0.8088642659279779,0.7881241565452092,0.7818694588692814
4.0,0.25,0.25,0.7819444444444444,0.7684210526315789,0.8088642659279779,0.7881241565452092,0.7818694588692814
5.0,0.25,0.3,0.7819444444444444,0.7684210526315789,0.8088642659279779,0.7881241565452092,0.7818694588692814
5.0,0.25,0.25,0.7819444444444444,0.7684210526315789,0.8088642659279779,0.7881241565452092,0.7818694588692814
9.0,0.25,0.15,0.7805555555555556,0.7650130548302873,0.8116343490304709,0.7876344086021506,0.7804689851001937
10.0,0.25,0.15,0.7805555555555556,0.7650130548302873,0.8116343490304709,0.7876344086021506,0.7804689851001937
5.0,0.2,0.2,0.7819444444444444,0.7698412698412699,0.8060941828254847,0.7875507442489852,0.781877174978202
8.0,0.3,0.2,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
7.0,0.3,0.2,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
6.0,0.3,0.2,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
6.0,0.3,0.15,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
9.0,0.25,0.25,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
10.0,0.25,0.25,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
9.0,0.25,0.3,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
8.0,0.3,0.15,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
5.0,0.25,0.15,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
4.0,0.25,0.15,0.7805555555555556,0.7664041994750657,0.8088642659279779,0.7870619946091645,0.7804767012091143
